Sample_ID,Line,Age,Date.of.differentiation,Region,Version,Condition,Glutamatergic_ODS,GABAergic_ODS,Non_neuronal_ODS,Dividing_Progenitor_ODS,Neural_Progenitor_ODS,Intermediate_Progenitor_ODS,Microglia_ODS,Glutamatergic_mean_RPKM,GABAergic_mean_RPKM,Non_neuronal_mean_RPKM,Dividing_Progenitor_mean_RPKM,Neural_Progenitor_mean_RPKM,Intermediate_Progenitor_mean_RPKM,Microglia_mean_RPKM,ER_stress_mean_RPKM,oxidative_stress_mean_RPKM,glycolytic_stress_mean_RPKM
21047R-94-20,8858.3,30,April_2023,spinal,v5,once_a_week,0.5371830096781158,0.8686096241078817,-1.1723376523914952,0.8004134666523357,0.674793888240482,0.49654236450266187,0.7114082960120488,30.832257388470637,8.500211015508212,1.4658429764845458,1.5095700194758388,6.0133705914011095,1.511919529768259,6.390283578969817,8.201439152866,25.55542545647612,43.87289316384889
21047R-94-21,8858.3,30,April_2023,spinal,v5,once_a_week,0.5535626952433719,0.7378265406159062,-1.118735713271359,0.813452832271403,0.6189009858654392,0.9380116334206519,0.7383555072203238,27.74147747491325,8.570438958009163,1.396026660142893,1.7604376619836788,5.589431782679622,1.4758344025968309,6.321497456425305,7.949327195111843,26.044276408570884,43.22556852649717
21047R-94-25,C4.1,30,April_2023,spinal,v5,once_a_week,0.5596515399235826,0.8066704001159664,-1.234190063583366,0.7959208043312462,0.5806167158757752,0.8130019466618394,0.7166353016578442,20.26836907714352,6.887574263258785,0.7287580972461469,1.1888950663140818,3.1368834169620463,1.3261236721523475,5.379717797306478,7.589757507590931,25.801570825911817,54.46011001104096
21047R-94-26,C4.1,30,April_2023,spinal,v5,once_a_week,0.5901041554173404,0.8020704543684973,-1.056250329446737,0.7804516854441235,0.5278436001093305,0.8164257887932171,0.7210722863445381,21.232144123444574,6.937589863187586,0.6878098625751919,1.028030269163486,2.9400206419912385,1.2191313756804374,5.6614528736025465,7.934319959721848,26.730820617324703,55.555373766922806
21047R-94-27,C4.1,30,April_2023,spinal,v5,once_a_week,0.6956374882083551,0.9849897722381774,-0.11799487022462785,0.8406391316741809,0.8048797239161803,-0.271146928827368,0.7982069987689008,22.70612877228221,6.486477746227238,0.7006709282722147,1.076392226344141,3.126087222844122,1.347824074684952,6.098149028399868,7.549737111309725,28.637734643696046,56.46293703165816
21047R-94-28,8858.3,30,April_2023,spinal,v5,weekend_skipping,0.6709707873549967,0.9019850860346019,-0.11376208373899388,0.857962793877295,0.7747537763772171,0.1473243674979362,0.7538725178990199,28.22976486786375,9.213834278382917,1.8705479165666379,3.005162330192747,7.4493188463187074,2.0632593566642807,6.171366538485262,7.374037660202021,26.155365690404963,39.35355935917297
21047R-94-29,8858.3,30,April_2023,spinal,v5,weekend_skipping,0.6417167342918492,0.9786441319196539,-0.035346989383483685,0.8600242996733466,0.8300388886437949,0.12388100485589937,0.8355233878311914,28.74440618263336,10.42441496935118,1.958025044457576,3.197737752444145,7.522805877916514,2.16651950315398,5.673108778797536,6.691082168612508,27.254716645363143,36.153392242942715
21047R-94-30,8858.3,30,April_2023,spinal,v5,weekend_skipping,0.6370709936448424,0.9430346650482893,-0.34149002238312276,0.8368912729750417,0.7254356908560605,0.8071167245873103,0.8235775784080835,30.527249707644938,11.297215579565407,1.8237029427412708,2.835206959067274,7.090509547245143,2.1882264427639555,5.693517624208908,6.2987553701205465,27.956154797663235,34.2993444037556
21047R-94-37,C4.1,30,April_2023,cortical,v5,once_a_week,0.7009320687555325,0.8937965674198004,-0.5418224513485377,0.8016120582865571,0.7869295857587769,0.6353492221552379,0.8280631119331131,3.0671767767507707,2.260375057917229,1.9364245248264929,6.963946640568611,9.540241492896195,4.050396274730953,8.092711157809115,10.720043871269269,27.85749746559906,41.87397151131243
21047R-94-38,C4.1,30,April_2023,cortical,v5,once_a_week,0.6264870398149438,0.9188973201684832,-0.34791899224046086,0.8266507220571535,0.784661553681762,0.7348203604838278,0.882382774091238,3.1216719779502453,2.569860275178642,1.8968956837136934,6.108181420853559,9.301562559399157,4.049232611515484,8.868215828134558,11.202764709935876,27.111839554656132,38.643743723949775
21047R-94-39,C4.1,30,April_2023,cortical,v5,once_a_week,0.687493883715077,0.6436205393432803,-0.3316972597285601,0.9190000523889502,0.9492273918546671,-2.3730432405046167,0.9048887358173291,3.2973941825617494,2.1558078642068086,1.8710784889193373,6.221475351295158,9.422968737424549,3.721119079121156,9.855820983395429,12.208280984054307,26.45363446939117,46.7876148491934
21047R-94-43,8858.3,30,April_2023,subpallial,v5,once_a_week,0.6889283794703696,0.6578824828207548,-0.07780188293182189,0.9329119595817121,0.9539171087020852,-2.5504541838666395,0.9039492598259443,2.942206057901477,3.00164561690923,2.256090941151011,5.840841971582991,11.188753749769663,2.215854527119717,6.0112283375179105,9.49745145476951,28.399523650261532,40.463749700064575
21047R-94-44,8858.3,30,April_2023,subpallial,v5,once_a_week,0.6972161635618435,0.643625815999309,-1.7597618470041914,0.9494527789334133,0.9411842282810761,-3.8397246255422113,0.8675489847354274,2.8236817618670123,3.400044578448676,2.389944688522422,5.643445170505839,10.531044891765625,2.6236511416643093,7.801648721832912,9.63285401495877,28.079254561993313,37.488991272157286
21047R-94-45,8858.3,30,April_2023,subpallial,v5,once_a_week,0.6799385094799302,0.9134253369247387,-0.49243770216722216,0.8326423144840139,0.7761885992564963,0.0053248817532876025,0.8074936703014179,3.2881235568037583,3.0843380995370535,2.299564975983575,6.047855501223505,11.634744901498173,2.6665481210741606,5.286517128088543,9.348068339770723,28.20073180094582,41.020340115607034
21047R-94-46,8858.3,30,April_2023,cortical,v5,once_a_week,0.6670639580017205,0.8558851769100331,-0.6312778172145819,0.8329643617520686,0.7996060192411529,0.08792204070384702,0.8219757525364572,4.824475212932494,2.668613190299588,2.022988509657386,4.715050394004338,9.158420462096291,6.211839706769364,5.540548632591113,9.134661092875529,27.160865237929336,43.43937812600141
21047R-94-47,8858.3,30,April_2023,cortical,v5,once_a_week,0.7528931711744035,0.9121968013472517,-0.6161399849746965,0.8385747167793635,0.7829840787936989,-0.26044641222328613,0.7887961454953489,4.560483261271844,2.4662133480741772,2.0235630251504353,5.724235760421438,9.567597491820587,5.246539837850667,5.3924269685880075,9.120338654290418,35.281624748477675,30.563942906561962
21047R-94-48,8858.3,30,April_2023,cortical,v5,once_a_week,0.46330442926701554,0.8484807205716085,-0.747606214579503,0.9097452925425418,0.5228099078762204,0.6864465636460407,0.9781208916128338,5.269631045449767,2.601073088353522,1.9644644497259864,4.346406548426497,9.685445995180576,5.8730477899821985,4.782810909956868,9.177105989720289,26.577132248386953,46.617480971513686
21047R-94-52,8858.3,30,April_2023,subpallial,v5,weekend_skipping,0.4653577781495183,0.9744160745329565,-0.609707811240451,0.9040540521606593,0.5096615176474597,0.9068489327940817,0.8993565873190156,3.4214367862190675,3.239930313827255,1.8548939126790926,6.580198089899066,10.154130482871667,2.539064173512237,5.592002447879728,10.05648585022435,31.900119512314607,38.823596234616005
21047R-94-53,8858.3,30,April_2023,subpallial,v5,weekend_skipping,0.4465104066851975,0.9371066840432296,-0.5331769388801315,0.9074004721658789,0.5635809172283484,0.8825388139597662,0.8860718145805384,4.021067144363091,3.6276861902686632,1.7674495904251502,6.505858048795316,9.999802106761955,2.638131087086784,5.3528942702112055,8.638079443413861,34.41612481665351,29.50971987365654
21047R-94-54,8858.3,30,April_2023,subpallial,v5,weekend_skipping,0.41824567684738967,0.5752650217695892,-2.353746287211356,0.863936054974699,0.6793152869249395,0.13061477296970292,0.7940506986118876,3.1420057838266287,3.132288222734541,1.8131442605230468,6.538196427026997,10.150000409952929,2.339832078455967,5.856337818380351,9.992119928339878,30.38521071564411,47.07035064403981
24049FL-01-01-01,8858,30,November 2023,cortical,v14,xg_orb_c5,0.49040847625990314,0.3286195458019594,-2.164091557802844,0.8504250101032295,0.7472251165553816,-0.47840529902106477,0.7508109211550797,3.3359824625877197,2.2318816353888957,1.6568315425100117,5.738447657520393,10.225772326995301,5.505031912544894,4.386088182423794,9.470194714453621,26.986675253613974,27.058885280771985
